Park Name,Category,count,Nativeness
Voyageurs National Park,Mammal,61,Native
Voyageurs National Park,Mammal,2,Not Native
Voyageurs National Park,Nonvascular Plant,9,Native
Voyageurs National Park,Reptile,5,Native
Voyageurs National Park,Vascular Plant,875,Native
Voyageurs National Park,Vascular Plant,144,Not Native
Wind Cave National Park,Amphibian,6,Native
Wind Cave National Park,Bird,224,Native
Wind Cave National Park,Bird,7,Not Native
Wind Cave National Park,Fish,5,Native
Wind Cave National Park,Fish,2,Not Native
Wind Cave National Park,Insect,1,Not Native
Wind Cave National Park,Mammal,66,Native
Wind Cave National Park,Mammal,1,Not Native
Wind Cave National Park,Reptile,12,Native
Wind Cave National Park,Slug/Snail,17,Native
Wind Cave National Park,Vascular Plant,592,Native
Wind Cave National Park,Vascular Plant,102,Not Native
Wrangell - St Elias National Park and Preserve,Amphibian,2,Native
Wrangell - St Elias National Park and Preserve,Bird,207,Native
Wrangell - St Elias National Park and Preserve,Bird,1,Not Native
Wrangell - St Elias National Park and Preserve,Fish,90,Native
Wrangell - St Elias National Park and Preserve,Insect,58,Native
Wrangell - St Elias National Park and Preserve,Invertebrate,3,Native
Wrangell - St Elias National Park and Preserve,Invertebrate,1,Not Native
Wrangell - St Elias National Park and Preserve,Mammal,59,Native
Wrangell - St Elias National Park and Preserve,Mammal,2,Not Native
Wrangell - St Elias National Park and Preserve,Nonvascular Plant,7,Native
Wrangell - St Elias National Park and Preserve,Reptile,1,Native
Wrangell - St Elias National Park and Preserve,Slug/Snail,1,Native
Wrangell - St Elias National Park and Preserve,Vascular Plant,1280,Native
Wrangell - St Elias National Park and Preserve,Vascular Plant,77,Not Native
Yellowstone National Park,Amphibian,5,Native
Yellowstone National Park,Amphibian,1,Not Native
Yellowstone National Park,Bird,298,Native
Yellowstone National Park,Bird,14,Not Native
Yellowstone National Park,Fish,13,Native
Yellowstone National Park,Fish,5,Not Native
Yellowstone National Park,Insect,473,Native
Yellowstone National Park,Mammal,64,Native
Yellowstone National Park,Mammal,2,Not Native
Yellowstone National Park,Reptile,7,Native
Yellowstone National Park,Reptile,1,Not Native
Yellowstone National Park,Slug/Snail,2,Not Native
Yellowstone National Park,Vascular Plant,1193,Native
Yellowstone National Park,Vascular Plant,205,Not Native
Yosemite National Park,Amphibian,14,Native
Yosemite National Park,Amphibian,1,Not Native
Yosemite National Park,Bird,245,Native
Yosemite National Park,Bird,17,Not Native
Yosemite National Park,Fish,3,Native
Yosemite National Park,Fish,7,Not Native
Yosemite National Park,Mammal,80,Native
Yosemite National Park,Mammal,6,Not Native
Yosemite National Park,Reptile,22,Native
Yosemite National Park,Vascular Plant,1478,Native
Yosemite National Park,Vascular Plant,176,Not Native
Zion National Park,Amphibian,7,Native
Zion National Park,Bird,298,Native
Zion National Park,Bird,3,Not Native
Zion National Park,Fish,6,Native
Zion National Park,Fish,9,Not Native
Zion National Park,Mammal,78,Native
Zion National Park,Mammal,2,Not Native
Zion National Park,Reptile,29,Native
Zion National Park,Vascular Plant,1173,Native
Zion National Park,Vascular Plant,189,Not Native
