Park Name,Category,count,Nativeness
Channel Islands National Park,Vascular Plant,222,Not Native
Congaree National Park,Amphibian,38,Native
Congaree National Park,Bird,193,Native
Congaree National Park,Bird,5,Not Native
Congaree National Park,Fish,62,Native
Congaree National Park,Fish,1,Not Native
Congaree National Park,Mammal,36,Native
Congaree National Park,Mammal,3,Not Native
Congaree National Park,Reptile,45,Native
Congaree National Park,Reptile,2,Not Native
Congaree National Park,Vascular Plant,782,Native
Congaree National Park,Vascular Plant,74,Not Native
Crater Lake National Park,Amphibian,16,Native
Crater Lake National Park,Amphibian,1,Not Native
Crater Lake National Park,Bird,244,Native
Crater Lake National Park,Bird,3,Not Native
Crater Lake National Park,Fish,2,Native
Crater Lake National Park,Fish,7,Not Native
Crater Lake National Park,Mammal,77,Native
Crater Lake National Park,Mammal,3,Not Native
Crater Lake National Park,Nonvascular Plant,1,Native
Crater Lake National Park,Reptile,12,Native
Crater Lake National Park,Vascular Plant,998,Native
Crater Lake National Park,Vascular Plant,55,Not Native
Cuyahoga Valley National Park,Amphibian,24,Native
Cuyahoga Valley National Park,Bird,239,Native
Cuyahoga Valley National Park,Bird,7,Not Native
Cuyahoga Valley National Park,Crab/Lobster/Shrimp,7,Native
Cuyahoga Valley National Park,Fish,70,Native
Cuyahoga Valley National Park,Fish,3,Not Native
Cuyahoga Valley National Park,Insect,198,Native
Cuyahoga Valley National Park,Insect,3,Not Native
Cuyahoga Valley National Park,Invertebrate,20,Native
Cuyahoga Valley National Park,Invertebrate,1,Not Native
Cuyahoga Valley National Park,Mammal,46,Native
Cuyahoga Valley National Park,Mammal,1,Not Native
Cuyahoga Valley National Park,Reptile,19,Native
Cuyahoga Valley National Park,Reptile,4,Not Native
Cuyahoga Valley National Park,Slug/Snail,10,Native
Cuyahoga Valley National Park,Slug/Snail,1,Not Native
Cuyahoga Valley National Park,Spider/Scorpion,2,Native
Cuyahoga Valley National Park,Vascular Plant,963,Native
Cuyahoga Valley National Park,Vascular Plant,270,Not Native
Death Valley National Park,Amphibian,6,Native
Death Valley National Park,Amphibian,2,Not Native
Death Valley National Park,Bird,405,Native
Death Valley National Park,Bird,11,Not Native
Death Valley National Park,Fish,5,Native
Death Valley National Park,Fish,2,Not Native
Death Valley National Park,Mammal,56,Native
Death Valley National Park,Mammal,5,Not Native
Death Valley National Park,Reptile,37,Native
Death Valley National Park,Reptile,1,Not Native
Death Valley National Park,Vascular Plant,1083,Native
Death Valley National Park,Vascular Plant,106,Not Native
Denali National Park and Preserve,Amphibian,1,Native
Denali National Park and Preserve,Bird,178,Native
Denali National Park and Preserve,Fish,14,Native
Denali National Park and Preserve,Mammal,41,Native
Denali National Park and Preserve,Vascular Plant,796,Native
Denali National Park and Preserve,Vascular Plant,22,Not Native
Dry Tortugas National Park,Bird,210,Native
Dry Tortugas National Park,Bird,71,Not Native
Dry Tortugas National Park,Fish,3,Native
Dry Tortugas National Park,Invertebrate,42,Native
Dry Tortugas National Park,Mammal,1,Native
Dry Tortugas National Park,Reptile,1,Native
